Facility ID,Hospital Name,Indicator Name,Year,Infections Observed,Infections Predicted,Denominator,Indicator Value,Indicator Lower Confidence Limit,Indicator Upper Confidence Limit,Indicator Units,Comparison Results,Location 1
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2016,"1,653",,,1,,,,,
0,New York State - All Hospitals,SSI Hysterectomy,2016,207,,"18,448",1.12,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2016,261,,"33,723",0.77,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2016,981,,"19,784",4.96,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2016,33,,"9,791",0.34,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG chest site,2016,171,,"11,028",1.55,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,247,,"11,441,024",0.22,,,"# hospital onset blood stream CRE infections per 10,000 patient days",,
0,New York State - All Hospitals,CRE Hospital Onset Infection Rate- all body sites,2016,"1,324",,"11,441,024",1.16,,,"# hospital onset CRE infections per 10,000 patient days",,
0,New York State - All Hospitals,CRE Admission Prevalence Rate- Bloodstream Infections,2016,126,,"2,346,836",0.05,,,"# admission prevalent CRE BSIs per 1,000 admissions",,
0,New York State - All Hospitals,CRE Admission Prevalence Rate- all body sites,2016,"1,465",,"2,346,836",0.62,,,"# admission prevalent CRE infections per 1,000 admissions",,
0,New York State - All Hospitals,CLABSI Surgical Ward,2016,85,,"109,204",0.78,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2016,82,,"74,665",1.1,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Step Down Unit,2016,68,,"65,829",1.03,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Pediatric Ward,2016,38,,"34,287",1.11,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2016,46,,"32,733",1.41,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2016,"1,317",,,1,,,,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2016,14,,"18,588",0.75,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2016,48,,"60,254",0.8,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2016,19,,"15,635",1.22,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2016,8,,"4,584",1.75,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Ward,2016,332,,"292,058",1.14,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical Ward,2016,310,,"297,743",1.04,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2016,97,,"119,210",0.81,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2016,123,,"133,035",0.92,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2016,64,,"41,843",1.53,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2016,65,,"80,066",0.81,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CDI Possibly-My-Hospital Associated,2016,"1,791",,"10,569,009",1.69,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",,
0,New York State - All Hospitals,CDI Hospital Onset,2016,"6,939",,"10,569,009",6.57,,,"# hospital onset cases per 10,000 patient days, risk-adjusted",,
0,New York State - All Hospitals,CDI Community Onset Not-My-Hospital,2016,"7,012",,"2,129,658",0.33,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",,
1,Albany Medical Center Hospital,SSI Overall Standardized Infection Ratio,2016,33,36.04,,0.92,0.63,1.29,,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Hysterectomy,2016,1,1.99,182,0.56,0.01,3.14,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Hip,2016,4,4.9,704,0.63,0.17,1.62,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Colon,2016,26,23.89,515,5.4,3.53,7.91,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG donor site,2016,0,0.82,264,0,0,1.23,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG chest site,2016,2,4.45,287,0.7,0.08,2.52,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,2,,"214,498",0.09,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,7,,"214,498",0.33,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,1,,"40,027",0.02,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CRE Admission Prevalence Rate- all body sites,2016,11,,"40,027",0.27,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Surgical Ward,2016,3,5.35,"6,876",0.44,0.09,1.28,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Surgical ICU,2016,6,6.67,"6,075",0.99,0.36,2.15,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Pediatric Ward,2016,3,3.74,"3,372",0.89,0.18,2.6,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Pediatric ICU,2016,3,2.8,"1,993",1.51,0.31,4.4,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2016,40,48.55,,0.82,0.59,1.12,,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2016,1,2.58,"2,861",0.31,0.01,1.72,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical Ward,2016,5,16,"14,075",0.36,0.12,0.83,# CLABSI per 1000 line days,Significantly lower than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical Surgical Ward,2016,4,1.18,"1,129",3.54,0.97,9.07,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical Surgical ICU,2016,5,1.1,"1,350",3.7,1.2,8.64,# CLABSI per 1000 line days,Significantly higher than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical ICU,2016,2,3.59,"3,882",0.52,0.06,1.86,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Coronary ICU,2016,2,3.2,"2,089",0.96,0.12,3.46,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2016,6,2.35,"2,895",2.07,0.76,4.51,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Possibly-My-Hospital Associated,2016,37,,"194,142",1.91,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Hospital Onset,2016,131,149.03,"194,142",5.69,4.49,7.1,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Community Onset Not-My-Hospital,2016,127,,"37,918",0.33,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
4,Albany Memorial Hospital,SSI Overall Standardized Infection Ratio,2016,1,3.17,,0.32,0.01,1.76,,Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,SSI Hysterectomy,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(42.673537, -73.75017)"
4,Albany Memorial Hospital,SSI Hip,2016,0,0.12,20,0,0,19.99,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,SSI Colon,2016,1,2.82,54,1.76,0.04,9.79,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,1,,"15,445",0.65,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,3,,"15,445",1.94,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"3,675",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CRE Admission Prevalence Rate- all body sites,2016,2,,"3,675",0.54,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CLABSI Surgical Ward,2016,1,0.35,445,2.25,0.06,12.52,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CLABSI Overall Standardized Infection Ratio,2016,3,1.55,,1.93,0.4,5.64,,Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CLABSI Medical Ward,2016,1,0.79,696,1.44,0.04,8.01,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CLABSI Medical Surgical ICU,2016,1,0.42,512,1.95,0.05,10.88,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CDI Possibly-My-Hospital Associated,2016,0,,"15,445",0,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CDI Hospital Onset,2016,8,4.03,"15,445",12.85,4.13,29.85,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(42.673537, -73.75017)"
4,Albany Memorial Hospital,CDI Community Onset Not-My-Hospital,2016,8,,"3,675",0.22,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.673537, -73.75017)"
5,St Peters Hospital,SSI Overall Standardized Infection Ratio,2016,48,44.03,,1.09,0.8,1.45,,Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,SSI Hysterectomy,2016,13,6.69,913,2.18,1.16,3.73,"# SSI per 100 procedures, risk-adjusted",Significantly higher than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,SSI Hip,2016,7,7.66,"1,050",0.71,0.28,1.46,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,SSI Colon,2016,24,18.68,442,6.37,4.08,9.48,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,SSI CABG donor site,2016,0,1.8,516,0,0,0.56,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,SSI CABG chest site,2016,4,9.21,556,0.67,0.18,1.72,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,2,,"130,276",0.15,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.65651, -73.804706)"
5,St Peters Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,4,,"130,276",0.31,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.65651, -73.804706)"
5,St Peters Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,1,,"28,668",0.03,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.65651, -73.804706)"
5,St Peters Hospital,CRE Admission Prevalence Rate- all body sites,2016,8,,"28,668",0.28,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Step Down Unit,2016,0,3.06,"2,961",0,0,1.01,# CLABSI per 1000 line days,Significantly lower than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Overall Standardized Infection Ratio,2016,13,29.75,,0.44,0.23,0.75,,Significantly lower than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Neonatal ICU Level 3,2016,0,0.54,556,0,0,6.74,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Medical Ward,2016,3,12.95,"11,396",0.26,0.05,0.77,# CLABSI per 1000 line days,Significantly lower than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Medical Surgical Ward,2016,5,6.98,"6,703",0.75,0.24,1.74,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Medical ICU,2016,2,2.82,"3,045",0.66,0.08,2.37,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Coronary ICU,2016,2,1.87,"1,222",1.64,0.2,5.91,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CLABSI Cardiothoracic ICU,2016,1,1.54,"1,895",0.53,0.01,2.94,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CDI Possibly-My-Hospital Associated,2016,36,,"119,537",3.01,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.65651, -73.804706)"
5,St Peters Hospital,CDI Hospital Onset,2016,65,77.66,"119,537",5.42,3.85,7.4,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(42.65651, -73.804706)"
5,St Peters Hospital,CDI Community Onset Not-My-Hospital,2016,90,,"27,913",0.32,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.65651, -73.804706)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,SSI Overall Standardized Infection Ratio,2016,0,0.71,,0,0,4.24,,Not significantly different than NYS 2016 average,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,SSI Hysterectomy,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,SSI Hip,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,SSI Colon,2016,,,,,,,"# SSI per 100 procedures, risk-adjusted","Not compared, less than 20 procedures","(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"7,192",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CRE Hospital Onset Infection Rate- all body sites,2016,0,,"7,192",0,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"2,018",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CRE Admission Prevalence Rate- all body sites,2016,0,,"2,018",0,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CLABSI Overall Standardized Infection Ratio,2016,0,1.02,,0,0,2.94,,Not significantly different than NYS 2016 average,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CLABSI Medical Surgical Ward,2016,0,0.77,741,0,0,4.04,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CLABSI Medical Surgical ICU,2016,0,0.25,305,0,0,9.82,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CDI Possibly-My-Hospital Associated,2016,1,,"6,221",1.61,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CDI Hospital Onset,2016,2,1.84,"6,221",7.03,0.36,32.57,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(42.122796, -77.94977)"
39,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,CDI Community Onset Not-My-Hospital,2016,1,,"1,050",0.1,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.122796, -77.94977)"
